ticket_id,created_at,customer_id,Customer Segment,channel,Product Area,issue_type,priority,status,sla_plan,Resolution Time (Hours),customer_sentiment,CSAT Score,platform,region,year,month,month_name,day,ticket_age_days,resolution_bucket,csat_percent,region_grouped,sla_breached
TCKT_007424,2022-01-01 00:16:58,CUST_07612,Enterprise,Phone_Transcript,Mobile_App,How_To,Low,Resolved,Gold,19.28,Positive,0,Ios,Latam,2022,1,January,1,1490,12–24h,0.0,Latam,No
TCKT_063268,2022-01-01 00:20:26,CUST_08390,Enterprise,In_App,Mobile_App,Other,Low,Resolved,Standard,15.09,Negative,3,Ios,Apac,2022,1,January,1,1490,12–24h,60.0,Apac,No
TCKT_047617,2022-01-01 01:07:27,CUST_05368,Individual,Web_Form,Mobile_App,Feature_Request,High,Closed No Action,Platinum,126.88,Negative,3,Api_Client,Eu,2022,1,January,1,1490,3–7 days,60.0,Eu,Yes
TCKT_039331,2022-01-01 01:07:34,CUST_09414,Enterprise,Chat,Billing,Security_Concern,Medium,Open,Gold,29.91,Neutral,3,Desktop_App,Apac,2022,1,January,1,1490,1–2 days,60.0,Apac,No
TCKT_024789,2022-01-01 01:36:44,CUST_05888,Individual,Email,Login_Auth,Feature_Request,Low,Resolved,Gold,50.21,Neutral,0,Ios,Latam,2022,1,January,1,1490,2–3 days,0.0,Latam,Yes
TCKT_036697,2022-01-01 04:47:47,CUST_05956,Non_Profit,Web_Form,Notifications,Security_Concern,Low,Resolved,Standard,28.32,Neutral,3,Web,Eu,2022,1,January,1,1490,1–2 days,60.0,Eu,No
TCKT_034378,2022-01-01 04:49:40,CUST_00002,Individual,Phone_Transcript,Mobile_App,Billing_Problem,High,Resolved,Standard,9.25,Negative,2,Android,Eu,2022,1,January,1,1490,<12h,40.0,Eu,No
TCKT_091196,2022-01-01 05:13:41,CUST_04682,Non_Profit,Chat,Billing,Security_Concern,Low,Resolved,Platinum,28.55,Negative,0,Desktop_App,Apac,2022,1,January,1,1490,1–2 days,0.0,Apac,No
TCKT_037841,2022-01-01 05:51:37,CUST_05691,Non_Profit,Phone_Transcript,Mobile_App,Feature_Request,Low,In Progress,Platinum,29.91,Positive,4,Android,Unknown,2022,1,January,1,1490,1–2 days,80.0,Unknown,No
TCKT_082425,2022-01-01 07:20:11,CUST_02939,Small_Business,Web_Form,Data_Export,Security_Concern,High,On Hold,Gold,29.91,Very_Negative,2,Ios,Unknown,2022,1,January,1,1490,1–2 days,40.0,Unknown,No
