ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region,year,month,month_name
TCKT_075722,2024-02-02 23:07:49,CUST_03968,non_profit,phone_transcript,notifications,other,high,resolved,standard,6.47,0,neutral,4,0,web,LATAM,2024,2,February
TCKT_080185,2025-11-16 19:07:23,CUST_05746,individual,in_app,login_auth,account_access,urgent,resolved,standard,5.1,0,neutral,4,0,android,MEA,2025,11,November
TCKT_019865,2025-12-02 22:15:37,CUST_04592,small_business,phone_transcript,api_integration,account_access,low,resolved,platinum,49.8,0,negative,2,1,web,MEA,2025,12,December
TCKT_076700,2024-06-22 04:06:43,CUST_04204,individual,chat,data_export,bug,low,resolved,standard,49.33,0,neutral,0,0,api_client,EU,2024,6,June
TCKT_092992,2024-08-16 03:33:46,CUST_03044,enterprise,web_form,mobile_app,account_access,low,on_hold,standard,29.91,0,positive,5,0,ios,MEA,2024,8,August
TCKT_076435,2025-11-15 17:45:27,CUST_06456,education,phone_transcript,billing,bug,low,in_progress,gold,29.91,0,positive,5,1,android,EU,2025,11,November
TCKT_084005,2023-09-11 01:47:28,CUST_08153,education,chat,api_integration,account_access,high,open,standard,29.91,0,negative,2,0,api_client,MEA,2023,9,September
TCKT_080918,2023-04-16 17:21:33,CUST_00534,non_profit,web_form,mobile_app,other,low,closed_no_action,gold,142.77,0,neutral,0,1,web,APAC,2023,4,April
TCKT_060768,2023-11-17 04:53:26,CUST_02880,enterprise,web_form,data_export,feature_request,high,resolved,gold,2.24,0,positive,4,0,desktop_app,MEA,2023,11,November
TCKT_050075,2024-12-28 06:45:17,CUST_09710,small_business,in_app,api_integration,billing_problem,urgent,resolved,standard,3.56,1,very_positive,5,1,ios,EU,2024,12,December
TCKT_027702,2023-10-04 04:34:45,CUST_07784,education,phone_transcript,mobile_app,security_concern,low,on_hold,gold,29.91,0,very_negative,1,0,android,MEA,2023,10,October
TCKT_042142,2023-02-04 06:56:45,CUST_08869,small_business,email,billing,account_access,medium,in_progress,standard,29.91,0,positive,0,1,desktop_app,LATAM,2023,2,February
TCKT_045081,2024-09-23 15:39:04,CUST_06811,individual,email,api_integration,bug,low,on_hold,standard,29.91,0,positive,4,0,desktop_app,EU,2024,9,September
TCKT_016639,2025-12-26 20:51:15,CUST_02429,small_business,phone_transcript,mobile_app,billing_problem,high,in_progress,standard,29.91,0,very_positive,5,0,ios,Unknown,2025,12,December
TCKT_020425,2022-08-31 06:33:15,CUST_04443,individual,phone_transcript,api_integration,bug,low,on_hold,gold,29.91,0,neutral,3,0,web,Unknown,2022,8,August
TCKT_088703,2022-10-08 22:08:52,CUST_02903,small_business,chat,mobile_app,account_access,medium,resolved,gold,14.35,0,negative,2,1,desktop_app,MEA,2022,10,October
TCKT_000150,2024-03-02 14:07:26,CUST_03467,non_profit,in_app,mobile_app,how_to,high,resolved,standard,11.32,0,positive,0,0,web,MEA,2024,3,March
TCKT_001762,2022-02-15 21:20:47,CUST_07733,enterprise,email,billing,feature_request,low,in_progress,standard,29.91,0,positive,4,0,api_client,LATAM,2022,2,February
TCKT_063121,2024-01-14 21:15:19,CUST_02165,individual,phone_transcript,mobile_app,billing_problem,low,open,standard,29.91,1,neutral,3,0,api_client,LATAM,2024,1,January
TCKT_069162,2025-05-23 15:28:59,CUST_03535,non_profit,chat,notifications,bug,high,resolved,standard,21.18,0,very_negative,2,1,android,MEA,2025,5,May
TCKT_064884,2022-02-14 03:26:12,CUST_04477,non_profit,chat,api_integration,billing_problem,medium,in_progress,standard,29.91,0,very_negative,2,0,desktop_app,MEA,2022,2,February
TCKT_002496,2025-12-26 01:40:44,CUST_00509,education,web_form,login_auth,billing_problem,low,closed_no_action,gold,223.2,0,negative,3,0,web,LATAM,2025,12,December
TCKT_080297,2023-04-02 15:55:03,CUST_07805,education,chat,analytics_dashboard,other,medium,closed_no_action,standard,72.3,0,very_negative,1,0,ios,LATAM,2023,4,April
TCKT_019448,2023-09-26 02:57:19,CUST_06957,education,web_form,data_export,feature_request,high,in_progress,gold,29.91,0,positive,4,0,android,EU,2023,9,September
TCKT_041332,2024-01-14 06:22:47,CUST_07967,small_business,phone_transcript,api_integration,performance,medium,resolved,standard,42.33,0,very_negative,1,0,ios,APAC,2024,1,January
TCKT_014889,2022-05-26 03:13:27,CUST_09567,non_profit,web_form,data_export,how_to,low,in_progress,standard,29.91,0,positive,5,0,web,APAC,2022,5,May
TCKT_088637,2022-07-13 08:35:20,CUST_06441,non_profit,chat,login_auth,billing_problem,medium,in_progress,gold,29.91,0,negative,3,1,desktop_app,Unknown,2022,7,July
TCKT_094893,2025-04-05 23:38:56,CUST_04579,small_business,phone_transcript,notifications,how_to,medium,in_progress,standard,29.91,0,neutral,3,1,web,Unknown,2025,4,April
TCKT_092732,2025-05-24 17:04:45,CUST_02092,individual,web_form,mobile_app,feature_request,medium,resolved,standard,33.0,0,negative,3,0,api_client,Unknown,2025,5,May
TCKT_029131,2023-01-06 00:34:23,CUST_09097,small_business,in_app,api_integration,how_to,high,on_hold,gold,29.91,1,negative,0,1,desktop_app,LATAM,2023,1,January
TCKT_079023,2023-04-12 07:26:10,CUST_09499,small_business,phone_transcript,data_export,performance,medium,in_progress,gold,29.91,0,neutral,0,1,android,MEA,2023,4,April
TCKT_084937,2023-05-30 14:47:08,CUST_00379,individual,email,notifications,security_concern,medium,on_hold,standard,29.91,0,very_negative,2,0,web,LATAM,2023,5,May
TCKT_016822,2022-04-01 15:11:13,CUST_03520,education,chat,api_integration,performance,low,on_hold,standard,29.91,0,neutral,0,0,web,LATAM,2022,4,April
TCKT_036734,2024-07-15 11:31:17,CUST_07926,individual,in_app,billing,feature_request,low,resolved,standard,13.32,0,very_positive,5,0,ios,MEA,2024,7,July
TCKT_015603,2023-06-14 11:50:49,CUST_04461,enterprise,in_app,notifications,other,medium,resolved,gold,28.29,0,positive,5,0,web,APAC,2023,6,June
TCKT_028534,2022-05-10 03:56:36,CUST_07233,enterprise,phone_transcript,api_integration,feature_request,low,resolved,gold,47.69,0,neutral,0,0,desktop_app,MEA,2022,5,May
TCKT_069770,2025-08-20 08:58:49,CUST_05566,small_business,email,notifications,bug,medium,in_progress,standard,29.91,0,neutral,4,0,android,LATAM,2025,8,August
TCKT_011406,2022-03-29 01:40:58,CUST_01901,enterprise,in_app,notifications,feature_request,high,resolved,gold,20.05,0,neutral,3,1,api_client,LATAM,2022,3,March
TCKT_096853,2022-08-12 01:55:34,CUST_00407,enterprise,in_app,notifications,how_to,medium,in_progress,gold,29.91,0,neutral,4,0,api_client,APAC,2022,8,August
TCKT_016131,2025-03-08 22:37:46,CUST_08114,enterprise,web_form,login_auth,other,high,in_progress,standard,29.91,0,positive,5,1,android,LATAM,2025,3,March
TCKT_019793,2023-04-03 05:19:07,CUST_06404,small_business,chat,data_export,feature_request,low,resolved,standard,43.47,0,very_negative,0,0,api_client,MEA,2023,4,April
TCKT_089578,2025-05-26 08:00:05,CUST_09509,education,web_form,api_integration,how_to,low,resolved,gold,45.12,0,positive,4,0,api_client,LATAM,2025,5,May
TCKT_040164,2022-10-03 17:44:16,CUST_09146,non_profit,phone_transcript,billing,how_to,low,open,platinum,29.91,0,neutral,0,1,ios,MEA,2022,10,October
TCKT_031777,2025-07-15 19:57:16,CUST_02341,education,phone_transcript,billing,bug,high,resolved,standard,19.24,0,very_negative,2,0,api_client,EU,2025,7,July
TCKT_025331,2025-10-25 11:13:26,CUST_06979,non_profit,chat,login_auth,account_access,low,resolved,standard,57.88,0,very_negative,0,0,desktop_app,Unknown,2025,10,October
TCKT_079157,2023-10-25 19:27:45,CUST_04194,enterprise,phone_transcript,api_integration,billing_problem,high,on_hold,platinum,29.91,0,negative,0,0,ios,Unknown,2023,10,October
TCKT_051686,2022-05-16 00:44:28,CUST_09074,non_profit,chat,analytics_dashboard,bug,high,resolved,gold,15.21,0,negative,2,1,web,APAC,2022,5,May
TCKT_075499,2025-08-21 21:00:08,CUST_03681,education,web_form,notifications,account_access,low,closed_no_action,gold,55.49,0,negative,3,0,ios,Unknown,2025,8,August
TCKT_004728,2023-03-12 21:38:00,CUST_03104,non_profit,in_app,billing,how_to,low,open,standard,29.91,0,positive,0,0,desktop_app,APAC,2023,3,March
TCKT_085199,2024-02-20 19:48:05,CUST_02101,individual,chat,billing,performance,high,resolved,gold,10.15,0,neutral,0,0,ios,LATAM,2024,2,February
TCKT_035796,2024-05-01 09:52:26,CUST_00201,small_business,phone_transcript,api_integration,how_to,medium,open,standard,29.91,0,neutral,4,0,android,LATAM,2024,5,May
TCKT_012257,2025-05-19 17:32:40,CUST_05721,small_business,in_app,analytics_dashboard,bug,medium,open,gold,29.91,0,positive,4,0,android,APAC,2025,5,May
TCKT_035719,2023-06-18 02:05:39,CUST_04881,non_profit,chat,data_export,other,medium,closed_no_action,standard,172.14,0,neutral,3,0,android,MEA,2023,6,June
TCKT_070552,2024-04-20 18:56:42,CUST_05669,small_business,phone_transcript,mobile_app,account_access,medium,resolved,standard,43.79,0,neutral,3,1,web,MEA,2024,4,April
TCKT_054375,2023-01-25 16:15:41,CUST_02693,education,phone_transcript,billing,billing_problem,high,resolved,standard,23.76,0,very_positive,5,1,android,Unknown,2023,1,January
TCKT_039692,2022-12-20 13:31:02,CUST_09560,individual,web_form,mobile_app,how_to,high,resolved,gold,20.24,0,neutral,4,1,desktop_app,EU,2022,12,December
TCKT_093703,2023-12-05 13:05:59,CUST_08995,enterprise,phone_transcript,login_auth,performance,low,closed_no_action,gold,128.06,0,negative,3,0,api_client,EU,2023,12,December
TCKT_073692,2023-09-13 10:20:16,CUST_01529,non_profit,web_form,billing,bug,high,on_hold,platinum,29.91,0,negative,0,0,web,Unknown,2023,9,September
TCKT_098071,2023-10-30 17:35:32,CUST_05804,education,in_app,billing,account_access,low,resolved,standard,61.31,1,negative,0,0,api_client,Unknown,2023,10,October
TCKT_000576,2022-06-16 07:12:22,CUST_02249,non_profit,phone_transcript,notifications,bug,low,resolved,platinum,13.84,0,negative,3,1,android,Unknown,2022,6,June
